Model;SizeOriginal;VertOriginal;EdgesOriginal;PolyOriginal;SizeCompressed;CL;QP;SizeDecompressed;VertDecompressed;EdgesDecompressed;PolyDecompressed;SizeLoss;VertLoss;EdgesLoss;PolyLoss
alligator.obj;209912;3208;9188;5981;4757;10;11;199927;3208;9188;5981;2.26619;0;0;0
armadillo.obj;4784746;49990;149964;99976;92496;10;11;3562163;49990;149964;99976;1.93314;0;0;0
beast.obj;3433169;33963;66313;32364;57523;10;11;4129712;33972;98572;64618;1.67551;-0.0264994;-48.6466;-99.6601
beetle-alt.obj;1419813;19887;58552;38656;21751;10;11;1317255;19887;58552;38656;1.53196;0;0;0
beetle.obj;129282;1254;3296;2053;5662;10;11;136212;1254;3296;2053;4.37957;0;0;0
bimba.obj;8327997;112455;337359;224906;184532;10;11;8027960;112455;337359;224906;2.2158;0;0;0
cheburashka.obj;442832;6669;20001;13334;13688;10;11;413382;6669;20001;13334;3.09101;0;0;0
cow.obj;188900;2903;8706;5804;7189;10;11;180140;2904;8706;5804;3.80572;-0.0344471;0;0
fandisk.obj;398980;6475;19419;12946;8537;10;11;414154;6475;19419;12946;2.13971;0;0;0
happy.obj;4796579;49251;147905;98601;89876;10;11;3394898;49251;147905;98601;1.87375;0;0;0
homer.obj;387784;6002;18000;12000;11093;10;11;371393;6002;18000;12000;2.86061;0;0;0
horse.obj;4963762;48485;145449;96966;55567;10;11;3340585;48485;145449;96966;1.11945;0;0;0
igea.obj;9996328;134345;403029;268686;136333;10;11;9593871;134345;403029;268686;1.36383;0;0;0
lucy.obj;4814148;49987;149955;99970;84543;10;11;3712684;49987;149955;99970;1.75614;0;0;0
max-planck.obj;4723402;50077;150067;99991;91284;10;11;3607876;50077;150067;99991;1.93259;0;0;0
nefertiti.obj;3810587;49971;149907;99938;91565;10;11;3638447;49971;149907;99938;2.40291;0;0;0
ogre.obj;3909438;62194;186130;124008;66394;10;11;4317481;62185;186112;124008;1.6983;0.0144708;0.00967066;0
rocker-arm.obj;695843;10044;30132;20088;22883;10;11;640691;10044;30132;20088;3.28853;0;0;0
spot.obj;342635;3225;9072;5856;9939;10;11;331469;3229;9072;5856;2.90075;-0.124031;0;0
stanford-bunny.obj;2513831;35947;104288;69451;42828;10;11;2372540;34834;104288;69451;1.70369;3.09622;0;0
suzanne.obj;50667;507;1005;500;2843;10;11;58274;512;1476;968;5.61115;-0.986193;-46.8657;-93.6
teapot.obj;220579;3644;9998;6320;5312;10;11;201916;3350;9690;6320;2.40821;8.06806;3.08062;0
woody.obj;42007;694;1960;1267;1737;10;11;39810;694;1960;1267;4.13503;0;0;0
xyzrgb_dragon.obj;12192750;125066;374822;249881;184328;10;11;9166587;124948;374826;249882;1.51178;0.0943502;-0.00106717;-0.00040019
